"Date","Open","High","Low","Close","Volume"
"03/1996","5.8594","5.8594","5.8594","5.8594","0"
"02/1996","5.8594","5.8594","5.8594","5.8594","0"
"01/1996","5.5938","5.875","5.5938","5.8594","11,600"
"12/1995","5.5938","5.5938","5.5938","5.5938","0"
"11/1995","4.9875","5.5938","4.9875","5.5938","800"
"10/1995","5.1925","5.4688","4.9875","4.9875","3,200"
"09/1995","5.5313","5.5313","5.1925","5.1925","2,000"
"08/1995","5.375","5.5313","5.375","5.5313","2,400"
"07/1995","5.375","5.375","5.375","5.375","0"
"06/1995","5.1406","5.4688","5.1406","5.375","86,400"
"05/1995","4.41","5.275","4.41","5.1406","1,600"
